employee_id,query_id,query_starttime,execution_time
1,98963,01/04/2023 06:57:36,2884
1,231162,10/07/2023 18:10:57,1429
1,955374,03/21/2023 16:27:48,1685
1,373810,02/15/2023 21:29:47,3524
1,501200,06/29/2023 21:14:09,3290
2,357456,02/28/2023 03:15:02,2362
2,611718,02/20/2023 07:43:00,2100
2,444627,03/01/2023 03:33:21,2296
2,708948,06/22/2023 19:19:50,1886
4,901146,11/22/2023 06:47:15,3351
4,764604,02/21/2023 17:40:38,1041
4,311053,03/19/2023 14:58:59,2520
4,438124,11/07/2023 01:13:33,1677
5,575861,02/19/2023 17:56:34,1801
5,659745,05/25/2023 17:08:52,3556
5,654519,10/06/2023 01:59:15,429
5,220857,04/13/2023 21:31:26,2157
5,647903,09/09/2023 11:31:24,442
6,203735,02/12/2023 09:00:19,1652
7,621931,04/28/2023 18:07:36,600
7,702896,03/04/2023 08:17:36,3138
7,330285,10/06/2023 08:36:53,3464
7,180072,07/10/2023 05:25:35,286
7,4154,12/20/2023 13:22:43,839
7,680442,02/21/2023 18:12:08,3084
7,732732,11/15/2023 21:18:13,1622
7,358461,05/01/2023 13:40:27,2849
8,234193,04/19/2023 19:54:47,2708
8,846587,05/23/2023 14:09:19,248
8,267190,05/24/2023 10:42:58,1210
8,902239,05/27/2023 03:52:53,2073
9,833827,11/19/2023 09:50:16,3205
9,546974,08/08/2023 06:48:18,647
9,254774,03/09/2023 11:59:38,1343
10,713644,08/24/2023 17:15:36,3282
10,216124,11/29/2023 03:39:30,3414
10,62323,03/28/2023 21:51:38,60
10,853176,06/18/2023 09:27:04,1737
11,387798,05/08/2023 11:53:23,556
11,170808,07/10/2023 06:47:32,1126
11,675707,08/06/2023 19:23:30,1565
11,734567,05/21/2023 02:54:21,972
11,371528,10/26/2023 13:37:37,2199
12,119343,01/02/2023 04:43:48,300
12,935695,12/13/2023 17:48:48,216
12,122045,12/01/2023 23:36:02,39
12,128637,08/21/2023 03:26:08,117
12,930436,02/09/2023 13:17:29,2830
12,8662,08/03/2023 20:57:27,617
12,374418,10/28/2023 11:55:37,2334
13,11206,05/09/2023 01:29:10,3528
13,917989,06/05/2023 22:44:50,2536
13,375257,06/26/2023 12:24:27,2495
13,177435,06/19/2023 12:44:59,2530
14,174401,05/04/2023 20:23:08,795
14,952421,11/28/2023 20:41:15,2991
14,795878,01/25/2023 15:21:50,838
14,239356,08/10/2023 21:23:10,2081
14,221414,06/16/2023 05:26:03,2360
15,841037,03/30/2023 21:37:07,2615
15,599984,01/21/2023 06:02:56,871
15,509985,01/05/2023 15:18:57,1134
15,481270,04/11/2023 20:13:32,599
16,876062,03/27/2023 04:21:50,2236
16,216756,04/13/2023 03:28:32,303
16,701960,10/02/2023 14:36:31,1733
17,583454,10/08/2023 12:35:00,509
17,830170,06/23/2023 20:29:55,3320
17,282368,07/06/2023 10:30:57,2275
18,372801,09/20/2023 02:39:41,2268
18,482889,08/18/2023 11:15:10,1928
18,319473,01/28/2023 23:54:48,292
18,988397,11/07/2023 13:43:17,679
18,749258,04/19/2023 05:22:12,2225
19,725835,01/07/2023 10:59:49,1491
19,922595,03/25/2023 00:19:59,2668
19,874024,10/18/2023 14:42:09,151
19,11722,06/21/2023 08:09:13,1784
19,79713,04/24/2023 21:48:49,575
19,292118,01/27/2023 00:04:11,2492
19,908458,12/02/2023 12:52:02,1807
19,718969,02/16/2023 14:05:16,162
19,798374,10/01/2023 01:35:00,2625
21,655806,05/12/2023 13:24:13,520
21,777120,09/10/2023 19:52:35,1695
21,56615,04/23/2023 22:29:42,880
21,722507,08/15/2023 06:48:34,1487
21,324057,05/02/2023 04:23:43,3328
21,510037,07/03/2023 19:41:39,392
22,849266,09/14/2023 05:57:06,1579
22,165701,05/13/2023 00:24:17,2382
