day,song_id,rank
1,45202,2
3,45202,2
15,45202,6
2,55511,2
1,19960,3
9,19960,15
23,12636,9
24,12636,7
2,12636,23
29,12636,7
1,69820,1
17,44552,8
11,44552,16
11,11254,5
12,11254,16
3,33101,16
6,23299,1
14,89633,2
9,28079,9
7,28079,10
40,11254,1
37,23299,5
19,11254,10
23,89633,10
52,33101,7
20,55511,10
7,22222,8
8,44552,1
1,54622,34
2,44552,1
2,19960,3
3,260,1
3,22222,35
3,56112,3
4,14525,1
4,23339,29
4,13997,5
13,87752,1
14,87752,1
1,11254,12
51,13997,1
52,28079,75
15,87752,1
5,14525,1
6,14525,2
7,14525,1
40,33101,13
1,54622,84
7,62887,2
50,89633,67
50,13997,1
33,13997,3
1,23299,9
